@RELATION train_nocolour

@attribute G1 REAL
@attribute G2 REAL
@attribute x_region REAL
@attribute y_region REAL
@attribute num_pixels_regions REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@DATA
91.651,16.144,392.76,249.02,45,29,3
-0.014412,13.26,445.32,279.86,56,35,3
21.938,13.14,397.42,280.04,48,18,3
-25.443,14.441,333.66,290.77,35,10,3
15.06,7.769,270.36,290.76,90,5,3
25.758,15.896,246.19,305.92,26,11,3
69.567,11.339,292.45,308.94,49,12,3
14.796,10.231,345.98,312.71,42,11,3
-94.681,11.943,377.07,303.96,55,17,3
-20.433,16.813,394.38,340,74,10,3
15.443,12.677,432.8,343.36,81,14,3
-18.236,10.942,459.76,328.79,178,16,3
48.711,14.675,359.84,339.04,25,16,3
-19.816,10.956,348.17,393.58,48,16,3
44.166,13.358,307.57,408.7,81,25,3
12.68,62.785,256.89,403.29,28,8,3
20.209,4.83,272.08,388.08,53,5,3
-31.269,78.945,258.9,334.73,49,12,3
14.599,9.238,247.23,430.6,96,7,3
14.179,8.216,275.21,428.79,29,13,3
57.351,10.827,270.65,475.77,79,16,3
-55.439,12.613,273.5,510.46,84,15,3
75.594,12.266,246.56,520.44,70,25,3
0.72192,14.731,304.56,524.69,59,13,3
60.315,16.114,347.04,516.49,47,20,3
74.518,15.177,373.95,516.92,59,23,3
30.323,15.257,365.06,479.35,63,24,3
-22.537,93.364,368.96,431.56,97,13,3
13.926,10.839,315.19,429.74,85,10,3
18.405,11.294,460.63,417.32,40,14,3
0.040617,89.969,416.76,441.86,127,11,3
10.467,15.933,464.24,448.47,38,22,3
9.348,95.585,461.75,495.16,64,15,3
-34.924,12.366,422.77,516.97,35,31,3
10.148,12.492,464.64,561.66,53,11,3
80.275,80.629,389.84,559.23,61,20,3
-0.28442,10.885,337.38,566.1,159,17,3
24.501,53.883,261,571,21,7,3
97.225,91.746,269.66,603.6,80,14,3
19.46,74.729,246.3,642.1,10,16,3
14.794,73.055,282.55,645.27,64,12,3
10.608,59.918,266.82,691.95,44,11,3
-0.74777,74.043,259.7,755.03,67,18,3
-13.825,55.041,252.43,743.58,79,8,3
97.865,13.084,295.81,738.72,36,18,3
0.62732,11.086,354.39,739.43,102,19,3
94.816,11.129,358.54,720.43,35,19,3
47.646,92.895,372.65,665.32,31,8,3
-0.096114,77.439,390.15,633.79,52,11,3
49.015,92.102,418.16,654.81,77,13,3
-24.092,15.854,444.42,733.73,159,23,3
-0.9348,10.839,369.95,769.45,20,13,3
26.113,11.69,315.75,764.7,20,21,3
-11.416,56.373,277.34,765.77,56,7,3
-4.568,65.121,279.67,791.16,82,8,3
69.008,9.199,314.71,646.38,21,14,3
88.761,81.331,363.52,582.19,21,17,3
-6.278,20.968,137.77,18.082,98,22,4
-11.921,17.333,172.49,44.02,49,22,4
1.653,17.803,148.7,71.627,102,29,4
-28.763,14.357,170.84,93.415,82,10,4
-56.697,15.546,162.67,113.44,61,25,4
-97.723,18.767,122.29,126.42,31,39,4
36.393,23.599,159.87,136.02,93,30,4
47.335,17.348,154.89,196.61,57,19,4
-71.609,18.318,123.03,205.73,64,19,4
38.436,18.775,137.61,270.48,105,20,4
29.493,18.733,160.08,247.23,92,14,4
52.054,22.268,140.67,225.11,36,43,4
38.721,15.131,191.95,261.73,79,12,4
27.688,18.425,198.38,160.44,45,30,4
13.049,84.483,198.54,293.64,70,12,4
13.616,21.427,210.07,412.21,28,17,4
13.641,12.458,221.29,519.97,31,21,4
-30.437,18.766,211.3,552.7,23,16,4
-18.982,32.287,208.38,641.38,13,31,4
-0.49082,10.362,215,723,14,18,4
20.678,16.941,182.44,531.89,71,24,4
-57.181,22.009,170.12,492.86,57,18,4
-2.262,20.656,166.89,418.04,56,41,4
13.422,20.487,163.48,358.13,23,36,4
32.485,15.21,151.8,317.84,49,13,4
-86.862,14.84,162.11,570.51,47,16,4
-20.671,18.771,167,645.23,22,14,4
0.36605,11.928,136.04,628.46,124,35,4
-13.806,15.966,174.88,723.14,43,16,4
10.001,21.889,176.54,778.27,109,20,4
0.17545,59.441,198.73,12.455,33,58,5
41.485,37.683,200.2,110.39,150,3,5
20.922,33.737,199.28,211.31,29,4,5
19.827,29.04,214.18,355.12,136,12,5
8.76,20.638,208.37,473.04,113,2,5
10.653,53.144,207.82,584.04,28,11,5
-0.88666,36.493,211.23,687.38,92,8,5
-51.768,23.868,220.73,789.99,78,5,5
-10.873,29.379,219.82,13.742,186,3,5
-27.608,31.903,213.91,111.39,206,21,5
24.384,11.181,225.37,205.57,81,7,5
75.232,29.065,234.5,229.69,321,6,5
35.446,39.457,235.1,332.38,210,36,5
-19.285,37.01,237.4,357.21,75,34,5
-27.708,46.829,232.05,457.59,420,41,5
-1.583,42.797,234.7,491.69,358,49,5
42.309,12.164,235.49,587.91,70,10,5
-20.877,11.507,234.83,600.26,53,12,5
99.651,26.444,239.8,681.8,130,14,5
-37.218,35.057,244.11,700.27,175,21,5
18.723,35.018,250.55,781.99,489,15,5
-18.107,42.491,300.13,786.49,321,23,5
-28.004,28.2,316.76,780.46,338,6,5
-20.542,50.379,300.07,698.82,109,69,5
94.929,48.665,314.52,700.57,191,102,5
13.964,27.394,321.24,682.06,274,6,5
76.348,29.493,296.81,686.57,113,7,5
24.995,38.819,298.74,598.38,66,39,5
0.49962,25.993,286.85,478.12,407,53,5
80.882,32.001,298.77,462.56,295,4,5
99.835,26.201,327.58,462.29,401,5,5
25.538,34.711,319.86,479.29,143,84,5
-36.675,36.772,288.13,367.21,352,74,5
44.018,40.577,290.81,332.02,220,39,5
-0.09953,12.904,317.89,337.88,185,26,5
33.225,16.092,315.93,356.93,87,12,5
20.877,42.24,276.82,215.9,232,20,5
47.415,39.878,278.65,189.71,400,13,5
90.142,30.079,296.57,196.18,180,20,5
50.365,23.289,300.49,219.08,184,15,5
-17.585,10.115,287.26,102.87,39,22,5
25.674,24.917,287.5,60.957,94,19,5
21.448,17.342,310.79,19.379,66,17,5
-21.562,39.14,381.56,199.21,357,22,5
36.199,46.201,378.3,214.5,290,19,5
13.702,19.088,407.64,214.64,28,26,5
87.604,34.171,398.95,191.13,194,8,5
0.72297,14.032,427.26,310.47,125,18,5
72.808,49.842,392,458.16,61,13,5
-1.386,52.103,393.96,492.46,282,26,5
-20.686,38.619,409.88,489.21,340,13,5
-11.907,28.612,410.47,461.48,228,15,5
-67.011,40.483,395.97,689.51,351,34,5
-28.142,39.593,392.87,714.21,309,22,5
-88.806,37.529,415.74,711.85,273,8,5
11.314,27.078,428.38,692.6,299,17,5
27.351,10.984,410.7,376.05,43,10,6
11.385,22.606,459.84,366.71,143,14,6
13.84,82.579,421.83,584.42,36,12,6
21.403,59.39,457.21,590.62,39,16,6
20.177,87.124,397.39,94.314,70,10,6
11.91,86.862,456.47,89.533,445,3,6
85.063,0,16.991,26.209,1823,0,1
57.188,67.846,63.648,202.49,378,0,1
